time,AF7,AF8,ECG,PPG_Muse,participant_id,Condition
0.294,-0.5732966129784405,-0.06573961352810848,-0.05733500717435141,107719.65187366171,sub-25,RestingState
0.296,-0.9288011174540143,-0.4149717627044741,-0.05674353159936171,107718.71830835112,sub-25,RestingState
0.298,-0.9563804088025484,-0.4542542334479136,-0.056041078490446414,107717.68327087793,sub-25,RestingState
0.3,-0.5973462249634679,-0.14431425249263927,-0.0554488970129053,107716.80757494664,sub-25,RestingState
0.302,0.04063391587546356,0.4083041792290636,-0.05477477421892339,107716.21648822266,sub-25,RestingState
0.304,0.7149696551370205,0.98874194498073,-0.05396325723676923,107715.76975374724,sub-25,RestingState
0.306,1.1564743598133254,1.3694161030347833,-0.053010549604976524,107715.56822805142,sub-25,RestingState
0.308,1.1967971540861733,1.4147698961787143,-0.05216859494908306,107715.2475374732,sub-25,RestingState
0.31,0.8572524562369633,1.1476733028844968,-0.05138848326352179,107715.01041220545,sub-25,RestingState
0.312,0.3416689025644554,0.7383347723252931,-0.05053520322756394,107714.7663543897,sub-25,RestingState
0.314,-0.06072874997457295,0.42282722666594336,-0.04966384160998717,107714.44333511787,sub-25,RestingState
0.316,-0.11286539319612958,0.39270831160364317,-0.0487947226758763,107713.91937901496,sub-25,RestingState
0.318,0.25551166807557335,0.7059799412800624,-0.04810203068153794,107713.16710385439,sub-25,RestingState
0.32,0.9210200584077636,1.2661728629346827,-0.04738222946960296,107712.32973768741,sub-25,RestingState
0.322,1.6274272314407,1.870239003722237,-0.04683555694414371,107711.3759635974,sub-25,RestingState
0.324,2.105801125497678,2.301200032398897,-0.04610276276144008,107710.6278640257,sub-25,RestingState
0.326,2.1907168577625744,2.4183466755836522,-0.04526899556332212,107709.78262847963,sub-25,RestingState
0.328,1.8761206351041633,2.203009174149111,-0.04429904227454128,107709.1590738757,sub-25,RestingState
0.33,1.3019941630626997,1.751630693703053,-0.04340990061813873,107708.69582441104,sub-25,RestingState
0.332,0.679383897648555,1.2229546960550413,-0.04246312179607664,107708.38163811565,sub-25,RestingState
0.334,0.2047668806994538,0.7745846546730347,-0.04160323646133945,107708.2941113489,sub-25,RestingState
0.336,-0.0029777037508866753,0.5143629764637868,-0.040632930544715534,107708.21614025695,sub-25,RestingState
0.338,0.07338662361092929,0.47828816596702745,-0.039876903377710674,107708.03254817984,sub-25,RestingState
0.34,0.36756479232307104,0.6374472481679233,-0.0391004881617036,107707.67641862955,sub-25,RestingState
0.342,0.7621315604022528,0.9160585567054218,-0.038267537519947485,107707.31651498938,sub-25,RestingState
0.344,1.1284541294247739,1.2162740029653247,-0.03746789620762465,107706.73525160605,sub-25,RestingState
0.346,1.3595859922015925,1.4422602385308971,-0.03654855079729533,107706.11565845838,sub-25,RestingState
0.348,1.393755022547141,1.522113551053635,-0.035473317360481545,107705.39676124194,sub-25,RestingState
0.35,1.2324593137843467,1.4300356654461865,-0.0342488992624972,107704.49925053539,sub-25,RestingState
0.352,0.9404468556585086,1.1971560774743248,-0.033209284806297,107703.83549250534,sub-25,RestingState
0.354,0.6298341924416379,0.9074260758975479,-0.032256332030809,107703.32387580312,sub-25,RestingState
0.356,0.4228188550458753,0.671807756713855,-0.031182418836926826,107702.81102783719,sub-25,RestingState
0.358,0.406279053037146,0.5874580127571337,-0.030314733229235526,107702.31113490365,sub-25,RestingState
0.36,0.5974500921118213,0.6987395963946309,-0.029282321613351755,107701.84111349037,sub-25,RestingState
0.362,0.9345668379282924,0.9758822030224937,-0.02826195203637348,107701.32101177723,sub-25,RestingState
0.364,1.3019180638219303,1.324720427760646,-0.027107397196275973,107700.83460920778,sub-25,RestingState
0.366,1.5747595226237152,1.6225158088651381,-0.025933510589795226,107700.39253211986,sub-25,RestingState
0.368,1.6686166104670601,1.7670031566418523,-0.024676595140264497,107699.77631156318,sub-25,RestingState
0.37,1.568203764829191,1.7157777773440828,-0.023400031794730075,107699.1557012848,sub-25,RestingState
0.372,1.327603989638908,1.50070423255097,-0.02215011624905542,107698.59866167023,sub-25,RestingState
0.374,1.0466219282178624,1.2142326215604506,-0.020994511956291154,107698.14159528913,sub-25,RestingState
0.376,0.8322767868813014,0.9724874731306525,-0.02013659521805748,107697.85388115625,sub-25,RestingState
0.378,0.766278522438336,0.8736529378976563,-0.019286575361765215,107697.7183083512,sub-25,RestingState
0.38,0.8802045749137367,0.9627413982428479,-0.01847206069424756,107697.69124732338,sub-25,RestingState
0.382,1.1473036264959826,1.2160382789709434,-0.017651174398242812,107697.76215203431,sub-25,RestingState
0.384,1.4876702054785989,1.5482567794506827,-0.016888723648736566,107697.93474304068,sub-25,RestingState
0.386,1.78527236751207,1.8390487298085678,-0.016151073659177877,107698.06338329756,sub-25,RestingState
0.388,1.9235172710982054,1.975846151676629,-0.015370926540818586,107698.23942719489,sub-25,RestingState
0.39,1.8254095053637893,1.8964307153291173,-0.0144818103013957,107698.33244111351,sub-25,RestingState
0.392,1.4937003527204984,1.6200940868472855,-0.013816670712225164,107698.13436830835,sub-25,RestingState
0.394,1.0252003780927534,1.2494040571763452,-0.013165528324035811,107697.87596359737,sub-25,RestingState
0.396,0.5847309982616494,0.936136581713044,-0.012671265257771437,107697.51086723777,sub-25,RestingState
0.398,0.3449603565073144,0.8221626242600446,-0.012131635466744084,107697.10420235542,sub-25,RestingState
0.4,0.4046405439653766,0.9723859371397597,-0.01162657840815583,107696.75457708773,sub-25,RestingState
0.402,0.7348022943174959,1.3369911768251712,-0.011074434233136626,107696.56836188435,sub-25,RestingState
0.404,1.1774340039916331,1.7613959157655903,-0.010531857493433223,107696.42976445395,sub-25,RestingState
0.406,1.5084110689863606,2.046947017337243,-0.00990574506585424,107696.45289079228,sub-25,RestingState
0.408,1.5450430854878252,2.0417838914671296,-0.009194266300088056,107696.69783190581,sub-25,RestingState
0.41,1.237973597523377,1.714733789022206,-0.008560300188645622,107697.01734475372,sub-25,RestingState
0.412,0.7095829346678091,1.1807823299565374,-0.00785245204751222,107697.46948608138,sub-25,RestingState
0.414,0.20509277913605897,0.6566886991572598,-0.0073461357791802405,107697.90642398293,sub-25,RestingState
0.416,-0.020178109432422337,0.3665034748534848,-0.0067275443862190275,107698.14205032123,sub-25,RestingState
0.418,0.17872597796961506,0.44254372163233713,-0.006270517280441956,107698.2383029979,sub-25,RestingState
0.42,0.7607134356531686,0.8641292465989769,-0.005977869982866329,107698.237366167,sub-25,RestingState
0.422,1.5157696645203345,1.4687512358516974,-0.0057369179562745285,107698.08669700213,sub-25,RestingState
0.424,2.157947251698047,2.024114097060515,-0.005405372912044789,107697.76084047112,sub-25,RestingState
0.426,2.4526044336080117,2.327555558631711,-0.005045258256056339,107697.31378479669,sub-25,RestingState
0.428,2.3170414811344546,2.2872821987956202,-0.004755767624639775,107696.72291220556,sub-25,RestingState
0.43,1.8434682942052638,1.9471105734689302,-0.004484080555634391,107696.05720021427,sub-25,RestingState
0.432,1.246434651559073,1.4543260500363044,-0.004211013540510905,107695.49079229122,sub-25,RestingState
0.434,0.7597621303370651,0.9888219576838602,-0.004010598632675055,107694.94941113499,sub-25,RestingState
0.436,0.5407192568366647,0.6925289178997399,-0.0039301378873817065,107694.48495717344,sub-25,RestingState
0.438,0.622935214701716,0.6285522313508484,-0.004014718971525302,107694.23857066389,sub-25,RestingState
0.44,0.928668444424366,0.7777830742673312,-0.004031641121268322,107694.13728586727,sub-25,RestingState
0.442,1.3256159814675732,1.0653499803694861,-0.004245246564635383,107694.05377408993,sub-25,RestingState
0.444,1.6863712926534082,1.3929459633429753,-0.004444211415100922,107694.09922376872,sub-25,RestingState
0.446,1.9256524034245264,1.6644933675562266,-0.004939551813038349,107694.30318522477,sub-25,RestingState
0.448,2.004114789965998,1.8008439106973437,-0.005064762507929769,107694.60133832987,sub-25,RestingState
0.45,1.915090565448347,1.7510343110869726,-0.005140903398466384,107694.98875803,sub-25,RestingState
0.452,1.6750579089192155,1.5068478789245239,-0.005156316075073172,107695.34320128479,sub-25,RestingState
0.454,1.3265740892578146,1.1158023869001374,-0.005069884845763355,107695.48870449669,sub-25,RestingState
0.456,0.9500651757563341,0.6830357903089739,-0.005016997785779113,107695.6188704497,sub-25,RestingState
0.458,0.6589607223856372,0.34643851889930116,-0.005017273299471067,107695.85500535321,sub-25,RestingState
0.46,0.5693395375383441,0.22728643433049295,-0.005032997913892949,107696.12647216268,sub-25,RestingState
0.462,0.7452672366711964,0.3725575849422355,-0.005033514869542522,107696.25899357602,sub-25,RestingState
0.464,1.149412448865001,0.7190980806446228,-0.005011439833134949,107696.21014453971,sub-25,RestingState
0.466,1.6356286339026538,1.1062840061230463,-0.004914166195308382,107696.0951552462,sub-25,RestingState
0.468,1.9957731370927776,1.3373766771931994,-0.004623421524976417,107695.96284796574,sub-25,RestingState
0.47,2.0558250601645067,1.2699963798457896,-0.0044077717518629395,107695.73768736619,sub-25,RestingState
0.472,1.7671265051976748,0.8875491296246439,-0.004024326386791705,107695.49708244116,sub-25,RestingState
0.474,1.2454752453222742,0.31484421770612186,-0.003656829337039024,107695.09539614561,sub-25,RestingState
0.476,0.7291174694320618,-0.23394136726799963,-0.0030545189585878254,107694.61215203431,sub-25,RestingState
0.478,0.4638238327073131,-0.555759585703994,-0.0024315470030543875,107694.3466006424,sub-25,RestingState
0.48,0.5810305766902989,-0.5522550094558202,-0.0017300414644895676,107694.16846895083,sub-25,RestingState
0.482,1.0245299010726128,-0.2739384080537428,-0.0010492158224068317,107694.02280513928,sub-25,RestingState
0.484,1.5744338313925432,0.11040288057455143,-0.00023811315794573047,107693.86715738768,sub-25,RestingState
0.486,1.957988426281853,0.4022711758729957,0.0005655350970041775,107694.03565310489,sub-25,RestingState
0.488,1.9843894535495976,0.46936087141397254,0.0012831913168707602,107694.1239561027,sub-25,RestingState
0.49,1.6412299241541146,0.305163679810632,0.001964742212760218,107694.39269271944,sub-25,RestingState
0.492,1.0911089844910156,0.01867846888107216,0.0027450137293540604,107694.66367773023,sub-25,RestingState
0.494,0.580990948492933,-0.23075737093261373,0.0035317255115002856,107694.81110813697,sub-25,RestingState
0.496,0.3141409796623779,-0.31525112017202717,0.004115332179349834,107694.88717880081,sub-25,RestingState
0.498,0.3520680093334916,-0.19521491514454248,0.004455966103044979,107695.00032119913,sub-25,RestingState
0.5,0.6041044090430719,0.0788541355888532,0.004726672863631484,107695.16638115635,sub-25,RestingState
0.502,0.8932846615544822,0.4065333310134869,0.0049037639542265365,107695.23803533195,sub-25,RestingState
0.504,1.061866552331736,0.69431881035646,0.005017565969229184,107695.36555139183,sub-25,RestingState
0.506,1.0495910995967765,0.8933483179605999,0.005281531293547413,107695.40993040695,sub-25,RestingState
0.508,0.9040083911211946,1.0010011248670956,0.005299612376543518,107695.44617237695,sub-25,RestingState
0.51,0.7312685435938933,1.0385350579685964,0.005300956736099402,107695.51180406859,sub-25,RestingState
0.512,0.6182332509194643,1.0222865704703854,0.0053685565801423075,107695.72194860813,sub-25,RestingState
0.514,0.584709556993862,0.9550684935807601,0.0051968706984868674,107695.88918629542,sub-25,RestingState
0.516,0.5868498730085688,0.8386619470075404,0.004902366226203978,107696.12408993568,sub-25,RestingState
0.518,0.5624627787481803,0.6931360447153354,0.00448924053360148,107696.35958244101,sub-25,RestingState
0.52,0.48422553836692317,0.5651145533777207,0.0037820386301104926,107696.55869914353,sub-25,RestingState
0.522,0.37789767284673165,0.5100537824778129,0.003231913618428328,107696.76964668099,sub-25,RestingState
